"companyId","companyName","ReviewsCount","AggregateRating"
"123573459","Wayfair","29.0","3.3"
"125070201","Octopus Energy","30.0","4.4"
"1413200","Nexdigm (SKP)","769.0","3.8"
"124316536","Einfochips","572.0","3.4"
"3220664","ValGenesis","147.0","3.1"
"890864","Happiest Minds Technologies","1278.0","3.5"
"125075185","Rise Your Light","",""
"6712647","Light A Fire Consultants","",""
"124257296","Bharat Earn Technology","",""
"4147312","Niit Learning Systems","38.0","3.5"
"126104","Sapwood Ventures","",""
"834453","IDFC FIRST Bank","12658.0","3.9"
"3269376","Labindia Instruments","85.0","4.1"
"2211352","Gionik Human Capital Solutions","",""
"683","LSC Infratech","76.0","3.8"
"124628380","Umang Global Group","5.0","3.8"
"99763","Firstsource","5253.0","3.6"
"1313468","Convate Consultancy Services","",""
"630787","Tata AIG General Insurance Company ","2949.0","4.1"
"1231336","Omnicom Media Group","271.0","3.1"
"1345524","Cameo Corporate Services","285.0","3.2"
"125110597","Omega Power Control","4.0","4.5"
"1328298","Kastech Software Solutions India","75.0","3.5"
"123488705","Essvee Services","",""
"5318700","Moptra Infotech","24.0","4.3"
"1050132","Sbicap Securities","2008.0","3.7"
"648569","Broadway Infotech","69.0","3.4"
"1494466","Floyd","49.0","4.1"
"8473","Rorito","143.0","3.8"
"721135","Synergistic Compusoft","14.0","3.7"
"6103386","Hoolime Technologies","10.0","3.9"
"2017694","Cubic Logics (Apps365.com)","71.0","4.3"
"123875395","Origin Recruiters","",""
"7019987","Innkey Infosystems","16.0","4.3"
"2645624","Religare Broking","670.0","3.7"
"5165316","Height Inc","45.0","3.9"
"9375","Isgec Heavy Engineering","1562.0","3.8"
"32242","Atul","1212.0","3.9"
"3502492","Unique","83.0","4.2"
"891154","Eurofins","162.0","3.2"
"124843629","Grapevine Round1 Ai","",""
"3816158","ICON plc","940.0","4.0"
"4907946","Epiroc Mining India","435.0","4.0"
"3111850","Vaibhav Global","324.0","3.1"
"3663470","Logon","7.0","4.1"
"1613248","Infinite","1829.0","3.3"
"6583340","Smart Placement Services","",""
"37905","SP Staffing","",""
"6288478","PHN Technology","1170.0","4.4"
"24660","BCH Electric","359.0","3.9"
"1390860","Jayshree International","14.0","3.7"
"5881992","Universal Quartz & Natural Stone","3.0","3.2"
"1694108","U Mind Consulting Thrissur","",""
"7142871","Fybros Modular Private Limited","36.0","3.7"
"124101718","Go Kite Tours And Travels","2.0","4.3"
"5924624","Career Job Solution New Delhi","",""
"730049","AGS Health","2977.0","4.0"
"2114110","RIC Projects","79.0","3.5"
"9545","Anlage Infotech","",""
"1812158","Mahindra First Choice","825.0","3.8"
"25773","Nexdigm (SKP)","769.0","3.8"
"123485433","Alpla","443.0","3.9"
"251896","HDFC ERGO","3698.0","3.9"
"737659","SBI General Insurance","1983.0","3.6"
"124958437","VC Green Energy","27.0","4.5"
"202650","Net Connect","573.0","3.2"
"2563670","Surya Habitat Services","",""
"1667120","VDart Technologies","151.0","3.9"
"5376514","Apollo Hospitals","5162.0","4.0"
"124100070","Vsharp Talent Solutions","",""
"5668320","Rekrut India","",""
"125013551","Vistara Exports","",""
"123721557","Epic Consultancy","",""
"394719","SK Logistics","70.0","3.8"
"124397582","Mizuho Global Services","43.0","3.6"
"2555918","Aavas Financiers","2071.0","3.9"
"6269818","Patterns247","3.0","1.3"
"2168812","Policybazaar","4952.0","3.7"
